filename, language, Python, Batch, Markdown, pip requirements, Properties, Ignore, JavaScript, HTML, JSON, Vue, CSS, Database, comment, blank, total
frontend\dist\static\js\2.bfd211a2ab6a4828ed32.js, JavaScript, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 11, 0, 43
frontend\dist\static\js\runtime.a2142094e45718454de0.js, JavaScript, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
frontend\index.html, HTML, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 3, 27
frontend\package-lock.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 11392, 0, 0, 0, 0, 1, 11393
frontend\package.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 81
frontend\src\App.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 4, 99
frontend\src\components\Auth.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 5, 5, 303
frontend\src\components\Footer.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 2, 50
frontend\src\components\Header.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 8, 5, 244
frontend\src\components\Help.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 2, 68
frontend\src\components\Main.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 4, 69
frontend\src\components\Menu.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 14, 3, 186
frontend\src\components\NotFound.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
frontend\src\components\addit\Grid.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 0, 0, 6, 4, 358
frontend\src\components\addit\MaxInput.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
frontend\src\components\addit\Preview.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 2, 72
frontend\src\components\docs\AddDoc.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 8, 3, 314
frontend\src\components\docs\Document.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 590, 0, 0, 19, 6, 615
frontend\src\components\docs\EditDocument.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 5, 4, 174
frontend\src\components\profile\Adm.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 484, 0, 0, 8, 5, 497
frontend\src\components\profile\EditProfile.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 210, 0, 260
frontend\src\components\profile\HeaderProfile.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 3, 74
frontend\src\components\profile\Profile.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 3, 3, 121
frontend\src\main.js, JavaScript, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 4, 26
frontend\src\otherFun.js, JavaScript, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
frontend\src\router\index.js, JavaScript, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 7, 8, 168
frontend\src\store\auth.js, JavaScript, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 5, 100
frontend\src\store\doc.js, JavaScript, 0, 0, 0, 0, 0, 0, 613, 0, 0, 0, 0, 0, 6, 6, 625
frontend\src\store\index.js, JavaScript, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
frontend\src\store\mutation-types.js, JavaScript, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 55
frontend\src\store\user.js, JavaScript, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 5, 239
ftp.py, Python, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 35, 305
manage.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
requirements.txt, pip requirements, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
staticfiles\avatars\Thumbs.db, Database, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 794, 0, 8, 802
users\admin.py, Python, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
users\migrations\0001_initial.py, Python, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 70
users\migrations\0002_auto_20190601_1724.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0003_notif_is_read.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0004_auto_20190602_1531.py, Python, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
users\migrations\0005_user_is_get_notif_email.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0006_auto_20190608_0047.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0007_notif_initiator.py, Python, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
users\migrations\0008_remove_notif_initiator.py, Python, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
users\migrations\0009_user_is_get_notif_expired_email.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0010_notif_dateexpire.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0011_auto_20190611_1927.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0012_notif_is_notif_expire.py, Python, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
users\migrations\0013_auto_20190614_0031.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
users\migrations\0014_auto_20190615_0056.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
users\migrations\0015_user_block.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
users\migrations\0016_auto_20190615_2107.py, Python, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
users\migrations\0017_auto_20190616_1605.py, Python, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
users\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
users\models.py, Python, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 72
users\permissions.py, Python, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
users\serializers.py, Python, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 231
users\views.py, Python, 378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 38, 437
Total, -, 2330, 2, 67, 62, 8, 11, 1720, 31, 11472, 3204, 1, 2190, 590, 678, 22366
